Player,Team,Position,Salary,Minutes,Max Minutes,MIN_CUM_AVG,MIN_LAST_3_AVG,MIN_LAST_5_AVG,MIN_LAST_10_AVG,MIN_TREND,MIN_CONSISTENCY,MIN_CONSISTENCY_SCORE,MIN_ABOVE_20,MIN_ABOVE_25,MIN_ABOVE_30,MIN_ABOVE_AVG_STREAK,FREQ_ABOVE_20,FREQ_ABOVE_25,FREQ_ABOVE_30,Projected Pts,DK,DK_CUM_AVG,DK_LAST_3_AVG,DK_LAST_5_AVG,DK_LAST_10_AVG,DK_TREND,DK_TREND_5,DK_CONSISTENCY,PTS_LAST_3_AVG,PTS_LAST_5_AVG,PTS_LAST_10_AVG,REB_LAST_3_AVG,REB_LAST_5_AVG,REB_LAST_10_AVG,AST_LAST_3_AVG,AST_LAST_5_AVG,AST_LAST_10_AVG,PTS_CUM_AVG,REB_CUM_AVG,AST_CUM_AVG,PTS_PER_MIN,REB_PER_MIN,AST_PER_MIN,SCORING_EFFICIENCY,RECENT_SCORING_EFF,FG_PCT,FG3_PCT,FT_PCT,FGM,FGA,FG3M,FG3A,FTM,FTA,PLUS_MINUS,PLUS_MINUS_PER_MIN,PLUS MINUS_LAST_3_AVG,PLUS MINUS_LAST_5_AVG,PLUS MINUS_LAST_10_AVG,PLUS MINUS_CUM_AVG,PLUS MINUS_TREND,PLUS MINUS_CONSISTENCY,PTS_TREND,REB_TREND,AST_TREND,PTS_CONSISTENCY,REB_CONSISTENCY,AST_CONSISTENCY,TEAM_MIN_PERCENTAGE,TEAM_PROJ_RANK,PTS_VS_TEAM_AVG,REB_VS_TEAM_AVG,AST_VS_TEAM_AVG,MIN_VS_TEAM_AVG,ROLE_CHANGE_3_10,ROLE_CHANGE_5_10,IS_TOP_3_PROJ,LOW_MIN_TOP_PLAYER,GAME_DATE,IS_HOME,IS_B2B,DAYS_REST,MATCHUP,WL,BLOWOUT_GAME,STL,BLK,TOV,OREB,DREB,PF,PLAYER_ID,TEAM_ID,TEAM_NAME,GAME_ID,SEASON_ID,VIDEO_AVAILABLE
Cade Cunningham,DET,PG,10500,36.0,40.0,35.688,37.667,36.6,36.1,1.0,1.853,0.051,1.0,1.0,1.0,3.0,1.0,1.0,1.0,56.744499999999995,50.0,48.108,58.7,56.08,52.45,1.0,-0.1,9.092,29.0,29.8,29.9,7.667,6.4,6.0,11.667,10.8,9.9,25.458,6.375,9.5,0.514,0.27,0.324,0.514,0.768,0.412,0.2,1.0,7.0,17.0,1.0,5.0,4.0,4.0,5.0,0.135,7.0,8.8,1.7,0.979,1.0,11.926,1.0,1.0,1.0,7.047,2.261,3.381,15.353,1.0,1.696,2.174,3.871,1.535,1.567,0.5,1.0,0.0,2025-02-09,1.0,0.0,4.0,DET vs. CHA,W,0.0,1.0,1.0,5.0,1.0,9.0,3.0,1630595.0,1610612765.0,Detroit Pistons,22400752.0,22024.0,1.0
Joel Embiid,PHI,C,10000,34.0,40.0,29.875,32.0,31.2,30.3,1.0,6.29,0.208,1.0,1.0,0.0,3.0,0.9,0.9,0.6,53.031,51.4,43.6,50.333,50.84,48.19,1.0,0.62,12.703,26.333,27.0,27.4,10.0,11.2,8.7,7.333,6.0,4.9,24.75,8.312,4.5,0.9,0.4,0.2,0.9,0.824,0.5,0.571,0.9,7.0,14.0,4.0,7.0,9.0,10.0,-6.0,-0.2,-12.333,-8.0,-0.5,-1.938,0.0,18.368,1.0,1.0,1.0,7.589,3.622,3.035,12.5,2.0,2.339,3.143,2.357,1.375,1.7,0.9,1.0,1.0,2025-02-09,0.0,0.0,2.0,PHI @ MIL,L,0.0,1.0,1.0,5.0,2.0,10.0,4.0,203954.0,1610612755.0,Philadelphia 76ers,22400754.0,22024.0,2.0
Tyrese Maxey,PHI,PG,9800,38.0,40.0,38.133,39.0,39.4,39.3,1.0,1.829,0.047,1.0,1.0,1.0,2.0,1.0,1.0,1.0,42.46600000000001,53.3,45.911,49.833,50.88,52.43,1.0,-1.12,5.838,32.333,32.8,33.9,3.333,3.4,3.4,5.667,7.2,7.1,28.089,3.444,6.178,0.975,0.1,0.125,0.975,0.828,0.696,0.5,0.667,16.0,23.0,5.0,10.0,2.0,3.0,-1.0,-0.025,-11.667,-3.4,1.6,-0.889,0.0,12.411,1.0,0.0,1.0,5.567,0.843,2.961,16.667,1.0,3.378,1.048,1.964,1.833,0.3,0.1,1.0,0.0,2025-02-09,0.0,0.0,2.0,PHI @ MIL,L,0.0,1.0,1.0,4.0,1.0,3.0,1.0,1630178.0,1610612755.0,Philadelphia 76ers,22400754.0,22024.0,2.0
Devin Booker,PHX,PG/SG,9500,36.0,40.0,37.085,38.0,39.2,38.5,1.0,5.817,0.151,1.0,1.0,1.0,0.0,1.0,1.0,1.0,47.319,34.9,42.466,41.5,42.28,43.72,0.0,-3.92,13.215,30.0,32.2,29.6,5.0,4.4,4.6,5.667,5.2,6.6,26.362,4.085,6.617,0.706,0.206,0.088,0.706,0.759,0.421,0.375,1.0,8.0,19.0,3.0,8.0,5.0,5.0,-18.0,-0.529,-16.333,-12.4,-1.5,-1.0,0.0,19.133,1.0,1.0,0.0,8.682,1.897,2.951,14.286,1.0,2.743,1.953,1.44,1.714,0.5,0.7,1.0,0.0,2025-02-08,1.0,1.0,1.0,PHX vs. DEN,L,0.0,0.0,0.0,2.0,3.0,4.0,3.0,1626164.0,1610612756.0,Phoenix Suns,22400749.0,22024.0,1.0
Karl-Anthony Towns,NYK,C,9400,37.0,40.0,34.574,35.0,34.0,35.0,0.0,5.121,0.146,1.0,1.0,0.0,0.0,1.0,1.0,0.7,53.3085,25.3,47.936,40.367,35.46,40.24,0.0,-3.48,12.602,19.333,16.6,18.9,12.667,10.8,11.7,1.667,2.6,3.2,24.0,13.511,3.277,0.321,0.321,0.036,0.321,0.531,0.375,1.0,0.5,3.0,8.0,2.0,2.0,1.0,2.0,-26.0,-0.929,1.0,-2.6,3.0,6.447,0.0,15.521,0.0,0.0,0.0,6.74,4.165,2.098,11.715,2.0,0.865,3.0,0.625,1.172,0.0,1.0,1.0,1.0,2025-02-08,1.0,0.0,4.0,NYK vs. BOS,L,1.0,1.0,1.0,2.0,1.0,8.0,4.0,1626157.0,1610612752.0,New York Knicks,22400748.0,22024.0,1.0
Scottie Barnes,TOR,PG/SF,9200,34.0,40.0,34.55,34.667,34.0,34.0,0.0,3.127,0.092,1.0,1.0,1.0,1.0,1.0,1.0,0.9,45.137,45.3,43.53,45.067,41.04,43.93,0.0,0.76,8.163,15.667,17.0,19.9,5.333,5.2,6.9,6.667,6.0,5.7,19.85,7.775,6.4,0.395,0.237,0.184,0.395,0.452,0.316,0.0,0.75,6.0,19.0,0.0,8.0,3.0,4.0,-4.0,-0.105,-12.333,-10.0,0.8,-3.4,0.0,16.831,0.0,0.0,0.0,4.701,3.479,1.947,15.966,1.0,1.724,1.875,3.684,1.597,0.667,0.0,1.0,0.0,2025-02-09,0.0,0.0,2.0,TOR @ HOU,L,0.0,2.0,1.0,0.0,0.0,9.0,2.0,1630567.0,1610612761.0,Toronto Raptors,22400753.0,22024.0,1.0
Kevin Durant,PHX,PF/C,9000,36.0,40.0,36.231,36.0,37.6,35.9,1.0,5.507,0.153,1.0,1.0,1.0,1.0,1.0,1.0,0.8,47.411500000000004,45.5,43.882,35.3,41.42,43.17,0.0,0.7,12.492,22.667,25.0,26.0,4.0,3.6,5.1,3.667,4.6,3.9,26.923,6.077,4.154,0.587,0.109,0.109,0.587,0.636,0.476,0.222,0.833,10.0,21.0,2.0,9.0,5.0,6.0,-4.0,-0.087,-3.333,-3.0,3.2,0.051,0.0,14.816,0.0,0.0,1.0,5.27,2.234,1.663,17.293,2.0,2.042,1.047,1.607,1.556,0.1,1.7,1.0,0.0,2025-02-03,0.0,0.0,2.0,PHX @ POR,L,0.0,1.0,2.0,4.0,0.0,5.0,1.0,201142.0,1610612756.0,Phoenix Suns,22400709.0,22024.0,1.0
Ja Morant,MEM,PG,8600,31.0,40.0,28.548,30.0,28.6,30.3,1.0,3.945,0.13,1.0,1.0,1.0,1.0,1.0,0.9,0.4,40.50950000000001,37.5,37.871,42.2,32.66,35.93,0.0,-1.96,12.368,22.333,17.6,18.5,4.333,3.8,3.9,7.333,6.2,7.1,20.516,4.194,7.484,0.444,0.139,0.194,0.444,0.782,0.316,0.5,0.5,6.0,19.0,2.0,4.0,2.0,4.0,-12.0,-0.333,4.333,-0.8,4.9,6.258,0.0,19.278,0.0,0.0,0.0,6.654,1.287,3.784,14.938,3.0,2.0,1.75,4.667,2.091,0.3,1.7,1.0,0.0,2025-02-08,1.0,0.0,3.0,MEM vs. OKC,L,0.0,0.0,2.0,1.0,1.0,4.0,2.0,1629630.0,1610612763.0,Memphis Grizzlies,22400746.0,22024.0,1.0
Jalen Brunson,NYK,PG,8400,37.0,40.0,35.333,35.667,36.6,35.8,1.0,4.211,0.118,1.0,1.0,1.0,1.0,1.0,0.9,0.9,45.971500000000006,41.5,41.539,50.8,48.72,43.2,1.0,1.26,13.467,35.333,30.6,27.5,2.333,2.6,2.0,6.667,8.4,7.4,26.275,2.843,7.471,1.0,0.0,0.139,1.0,0.986,0.556,0.429,1.0,10.0,18.0,3.0,7.0,13.0,13.0,-19.0,-0.528,-2.0,-1.4,-0.9,3.706,0.0,13.404,1.0,0.0,1.0,8.276,1.826,3.502,15.063,1.0,3.462,0.0,3.125,1.506,0.133,0.8,1.0,0.0,2025-02-08,1.0,0.0,4.0,NYK vs. BOS,L,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1628973.0,1610612752.0,New York Knicks,22400748.0,22024.0,1.0
Tyrese Haliburton,IND,PG,8200,34.0,40.0,34.12,31.667,32.8,32.0,0.0,3.432,0.107,1.0,1.0,1.0,1.0,1.0,0.9,0.7,42.903999999999996,42.9,39.182,34.967,38.16,38.1,0.0,-1.9,11.393,11.0,13.6,16.5,2.333,2.8,3.5,7.667,7.6,7.4,17.8,3.56,8.54,0.528,0.056,0.25,0.528,0.313,0.467,0.444,1.0,7.0,15.0,4.0,9.0,1.0,1.0,-9.0,-0.25,-8.333,-4.8,-0.7,1.24,0.0,13.557,0.0,0.0,0.0,8.631,1.581,1.647,15.0,2.0,1.624,0.526,3.333,1.5,0.333,0.8,1.0,0.0,2025-02-08,0.0,0.0,2.0,IND @ LAL,L,0.0,2.0,1.0,1.0,0.0,2.0,3.0,1630169.0,1610612754.0,Indiana Pacers,22400742.0,22024.0,1.0
